,title,location,date,link
142,Administrative Assistant - Estimating Department - Part-time," (Westford, MA)",Jan 15,https://boston.craigslist.org/nwb/ofc/d/westford-administrative-assistant/6795656524.html
143,Billing Associate, (Boston: Boston/Cambridge/Brookline),Jan 15,https://boston.craigslist.org/gbs/ofc/d/cambridge-billing-associate/6795551678.html
144,Administrative Assistant, (Chelsea),Jan 15,https://boston.craigslist.org/gbs/ofc/d/chelsea-administrative-assistant/6795546488.html
145,Inside Sales Representative, (Danvers),Jan 15,https://boston.craigslist.org/nos/ofc/d/danvers-inside-sales-representative/6795539883.html
146,Admin Needed; Great Opportunity!, (Tewksbury),Jan 15,https://boston.craigslist.org/nwb/ofc/d/wilmington-admin-needed-great/6795527653.html
147,Part-Time Administrative Assistant,N/A,Jan 15,https://boston.craigslist.org/gbs/ofc/d/boston-part-time-administrative/6795452875.html
148,Part time Personal Asst/Household Manager," (Boston, MA (Beacon Hill))",Jan 15,https://boston.craigslist.org/gbs/ofc/d/boston-part-time-personal-asst/6795451739.html
149,Receptionist / Administrative Assistant," (Littleton, MA)",Jan 15,https://boston.craigslist.org/nwb/ofc/d/littleton-receptionist-administrative/6795433889.html
150,Warehouse Assistant - full time with BENEFITS!,N/A,Jan 15,https://boston.craigslist.org/gbs/ofc/d/boston-warehouse-assistant-full-time/6795410068.html
151,***** Looking for PATIENT COORDINATOR ****** Join our Great team!, (BURLINGTON),Jan 15,https://boston.craigslist.org/nwb/ofc/d/burlington-looking-for-patient/6795402675.html
152,Automotive Accounting Pro!," (Woburn, MA)",Jan 15,https://boston.craigslist.org/gbs/ofc/d/automotive-accounting-pro/6795389617.html
153,EA to Senior Manager, (financial district),Jan 15,https://boston.craigslist.org/gbs/ofc/d/boston-ea-to-senior-manager/6795381326.html
154,HIRING EVENT FOR CALL CENTER/CUSTOMER SERVICE!, (Woburn),Jan 15,https://boston.craigslist.org/nos/ofc/d/woburn-hiring-event-for-call-center/6795345303.html
155,Weekend Receptionist - 2663BR," (Cambridge, CA)",Jan 14,https://boston.craigslist.org/gbs/ofc/d/cambridge-weekend-receptionist-2663br/6795179789.html
156,Part-Time Shipping Manager - e-commerce company, (Chelmsford),Jan 14,https://boston.craigslist.org/nwb/ofc/d/part-time-shipping-manager-commerce/6795036227.html
157,Executive Assistant,N/A,Jan 14,https://boston.craigslist.org/gbs/ofc/d/boston-executive-assistant/6795003110.html
158,Administrative Assistant/Reception,N/A,Jan 14,https://boston.craigslist.org/gbs/ofc/d/boston-administrative-assistant/6794984888.html
159,Full-time Personal Lines Customer Service Representative," (Cambridge, MA)",Jan 14,https://boston.craigslist.org/gbs/ofc/d/cambridge-full-time-personal-lines/6794981183.html
160,"Office Administrative Assistant, Major University", (Boston),Jan 14,https://boston.craigslist.org/gbs/ofc/d/office-administrative-assistant-major/6794979963.html
161,Administrative Associate," (Waltham, MA)",Jan 14,https://boston.craigslist.org/gbs/ofc/d/administrative-associate/6794973589.html
162,Executive Assistant to Cambridge Researcher,N/A,Jan 14,https://boston.craigslist.org/gbs/ofc/d/cambridge-executive-assistant-to/6794972570.html
163,HIRING EVENT FOR CALL CENTER/CUSTOMER SERVICE!, (Wobur),Jan 14,https://boston.craigslist.org/nwb/ofc/d/woburn-hiring-event-for-call-center/6794969831.html
164,Senior Customer Service Representative, (Boston),Jan 14,https://boston.craigslist.org/gbs/ofc/d/boston-senior-customer-service/6794967130.html
165,Customer Relations Specialist - Braintree, (Braintree),Jan 14,https://boston.craigslist.org/sob/ofc/d/braintree-customer-relations-specialist/6794949539.html
166,Senior Administrative Assistant, (Boston: Boston/Cambridge/Brookline),Jan 14,https://boston.craigslist.org/gbs/ofc/d/boston-senior-administrative-assistant/6794946617.html
167,Administrative Assistant, (Boston: Boston/Cambridge/Brookline),Jan 14,https://boston.craigslist.org/gbs/ofc/d/boston-administrative-assistant/6794946572.html
168,Biotech Manufacturing Company Needs Senior Admin- up to $75k!!," (Boston, MA)",Jan 14,https://boston.craigslist.org/gbs/ofc/d/boston-biotech-manufacturing-company/6794945557.html
169,Administrative / Office Assistant,N/A,Jan 14,https://boston.craigslist.org/sob/ofc/d/administrative-office-assistant/6794938915.html
170,Start the year with a new career!, (Boston),Jan 14,https://boston.craigslist.org/gbs/ofc/d/boston-start-the-year-with-new-career/6794899127.html
171,Receptionist/Administrative Assistant, (Chelsea),Jan 14,https://boston.craigslist.org/nos/ofc/d/chelsea-receptionist-administrative/6794879930.html
172,Lockbox Mail Floor Coordinator, (Medford),Jan 14,https://boston.craigslist.org/gbs/ofc/d/lockbox-mail-floor-coordinator/6794871119.html
173,BMW Shop Assistant," (Peabody, MA)",Jan 14,https://boston.craigslist.org/nos/ofc/d/peabody-bmw-shop-assistant/6794867206.html
174,Part Time Office Assistant," (Burlington, MA)",Jan 14,https://boston.craigslist.org/nos/ofc/d/burlington-part-time-office-assistant/6794832232.html
175,Executive Assistant, (Boston: Boston/Cambridge/Brookline),Jan 14,https://boston.craigslist.org/gbs/ofc/d/cambridge-executive-assistant/6794829491.html
176,Office Assistant (Accounting)," (Walpole, MA)",Jan 14,https://boston.craigslist.org/bmw/ofc/d/walpole-office-assistant-accounting/6794769785.html
177,Part-time Housekeeper needed for Office Space Downtown," (Boston, MA)",Jan 14,https://boston.craigslist.org/gbs/ofc/d/boston-part-time-housekeeper-needed-for/6794766193.html
178,Administrative Assistant (S_721335),N/A,Jan 14,https://boston.craigslist.org/nos/ofc/d/burlington-administrative-assistant/6794729952.html
179,Healthcare Front Desk," (Arlington, MA)",Jan 14,https://boston.craigslist.org/gbs/ofc/d/arlington-healthcare-front-desk/6794715603.html
180,FT Administrative/Intake Coordinator," (Newburyport, MA)",Jan 14,https://boston.craigslist.org/nos/ofc/d/newburyport-ft-administrative-intake/6794650128.html
181,"120k ""Hands-On"" Executive Assistant Needed to Join Our Team!"," (Cambridge, MA)",Jan 14,https://boston.craigslist.org/gbs/ofc/d/cambridge-120k-hands-on-executive/6794600194.html
182,Office Administrator," (Shrewsbury, MA)",Jan 14,https://boston.craigslist.org/bmw/ofc/d/shrewsbury-office-administrator/6794545560.html
183,Executive Assistant - First Hire to CEO in Biotech Office!," (Cambridge, MA)",Jan 14,https://boston.craigslist.org/gbs/ofc/d/cambridge-executive-assistant-first/6794519975.html
184,PT Administrative Assistant/Receptionist with Graphic Design Skills, (Harvard Square),Jan 14,https://boston.craigslist.org/gbs/ofc/d/cambridge-pt-administrative-assistant/6794506097.html
185,EA to Director - Well Known Hospital in Boston,N/A,Jan 14,https://boston.craigslist.org/gbs/ofc/d/jamaica-plain-ea-to-director-well-known/6794486910.html
186,Front desk receptionist, (MARBLEHEAD),Jan 14,https://boston.craigslist.org/nos/ofc/d/marblehead-front-desk-receptionist/6794481958.html
187,HIRING EVENT FOR CALL CENTER/CUSTOMER SERVICE!, (Woburn),Jan 14,https://boston.craigslist.org/nwb/ofc/d/woburn-hiring-event-for-call-center/6794478302.html
188,Office Administrator, (Marblehead),Jan 14,https://boston.craigslist.org/nos/ofc/d/marblehead-office-administrator/6794434619.html
189,Administrative Assistant, (Cambridge),Jan 13,https://boston.craigslist.org/gbs/ofc/d/cambridge-administrative-assistant/6793833704.html
